GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PizzaMarioTestAssignment_6,default,Order,101,0,0,0,29,0,14,0,14,0
PizzaMarioTestAssignment_6,default,Selenium,20,0,0,0,6,0,2,0,2,0
